model,hidden_layers,hidden_nodes,epochs,batch_size,learning_rate,weight_decay,train_acc,valid_acc,,,,,,,,,
10676,3,6,363,32,0.004,2.00E-05,90.13452915,75.67567568,,,,,,,,,
10677,3,6,229,32,0.004,2.00E-05,90.13452915,75.67567568,,,,,,,,,
10686,3,6,187,32,0.008,1.00E-06,91.03139013,75.67567568,,,,,,,,,
10707,3,6,612,32,0.01,1.00E-06,91.47982063,75.67567568,,,,,,,,,
10733,3,6,218,32,0.02,1.00E-05,90.58295964,75.67567568,,,,,,,,,
10903,3,12,45,4,0.004,0,91.03139013,75.67567568,,,,,,,,,
10909,3,12,53,4,0.004,1.00E-06,90.13452915,75.67567568,,,,,,,,,
10921,3,12,35,4,0.008,0,91.47982063,75.67567568,,,,,,,,,
10944,3,12,140,4,0.01,0,93.2735426,75.67567568,,,,,,,,,
11211,3,12,40,8,0.02,1.00E-05,91.03139013,75.67567568,,,,,,,,,
11375,3,12,225,16,0.002,1.00E-05,91.92825112,75.67567568,,,,,,,,,
11378,3,12,220,16,0.002,2.00E-05,93.72197309,75.67567568,,,,,,,,,
11422,3,12,35,16,0.01,0,91.92825112,75.67567568,,,,,,,,,
11449,3,12,32,16,0.02,1.00E-06,93.2735426,75.67567568,,,,,,,,,
11475,3,12,163,16,0.04,1.00E-05,90.13452915,75.67567568,,,,,,,,,
11501,3,12,1499,16,0.1,0,73.99103139,75.67567568,,,,,,,,,
11578,3,12,487,32,0.0008,2.00E-05,92.82511211,75.67567568,,,,,,,,,
11591,3,12,305,32,0.001,1.00E-05,90.13452915,75.67567568,,,,,,,,,
11627,3,12,97,32,0.004,1.00E-06,91.03139013,75.67567568,,,,,,,,,
11656,3,12,45,32,0.008,2.00E-05,90.58295964,75.67567568,,,,,,,,,
11679,3,12,40,32,0.01,2.00E-05,91.47982063,75.67567568,,,,,,,,,
11693,3,12,30,32,0.02,1.00E-05,91.03139013,75.67567568,,,,,,,,,
11737,3,12,198,32,0.08,2.00E-05,90.13452915,75.67567568,,,,,,,,,
11899,3,24,22,4,0.008,2.00E-05,91.47982063,75.67567568,,,,,,,,,
12022,3,24,232,8,0.0004,0,91.92825112,75.67567568,,,,,,,,,
12035,3,24,266,8,0.0004,1.00E-05,90.13452915,75.67567568,,,,,,,,,
12098,3,24,42,8,0.002,2.00E-05,93.2735426,75.67567568,,,,,,,,,
12143,3,24,25,8,0.01,0,92.37668161,75.67567568,,,,,,,,,
12179,3,24,29,8,0.02,2.00E-05,91.47982063,75.67567568,,,,,,,,,
12786,3,36,47,4,0.001,1.00E-06,91.03139013,75.67567568,,,,,,,,,
12883,3,36,111,4,0.02,0,91.03139013,75.67567568,,,,,,,,,
12893,3,36,295,4,0.02,1.00E-05,91.47982063,75.67567568,,,,,,,,,
12899,3,36,240,4,0.02,2.00E-05,93.2735426,75.67567568,,,,,,,,,
12932,3,36,1499,4,0.08,1.00E-05,62.78026906,75.67567568,,,,,,,,,
12997,3,36,171,8,0.0004,2.00E-05,90.13452915,75.67567568,,,,,,,,,
13025,3,36,63,8,0.001,0,90.58295964,75.67567568,,,,,,,,,
13158,3,36,1499,8,0.04,2.00E-05,74.88789238,75.67567568,,,,,,,,,
13219,3,36,447,16,0.0002,2.00E-05,90.13452915,75.67567568,,,,,,,,,
13251,3,36,125,16,0.0008,1.00E-05,90.13452915,75.67567568,,,,,,,,,
13260,3,36,135,16,0.0008,2.00E-05,92.37668161,75.67567568,,,,,,,,,
13277,3,36,116,16,0.001,2.00E-05,91.47982063,75.67567568,,,,,,,,,
